No.,YYYYMM,Value
322,199911,1393.703
323,199912,1934.585
324,200001,2376.644
325,200002,2067.246
326,200003,1716.727
327,200004,1429.67
328,200005,1367.622
329,200006,1457.37
330,200007,1603.549
331,200008,1653.544
332,200009,1392.954
333,200010,1316.008
334,200011,1602.448
335,200012,2431.274
336,200101,2607.896
337,200102,2045.654
338,200103,1938.578
339,200104,1462.889
340,200105,1270.906
341,200106,1392.83
342,200107,1618.098
343,200108,1685.043
344,200109,1346.634
345,200110,1320.879
346,200111,1418.882
347,200112,1923.622
348,200201,2321.869
349,200202,1935.889
350,200203,1921.425
351,200204,1507.561
352,200205,1375.9
353,200206,1495.406
354,200207,1743.077
355,200208,1707.559
356,200209,1463.574
357,200210,1417.144
358,200211,1657.876
359,200212,2237.906
360,200301,2599.786
361,200302,2281.551
362,200303,1971.244
363,200304,1491.005
364,200305,1379.464
365,200306,1413.121
366,200307,1688.921
367,200308,1709.401
368,200309,1439.162
369,200310,1358
370,200311,1550.628
371,200312,2231.867
372,200401,2632.749
373,200402,2292.281
374,200403,1851.908
375,200404,1456.114
376,200405,1381.139
377,200406,1498.225
378,200407,1674.961
379,200408,1625.617
380,200409,1445.151
381,200410,1382.02
382,200411,1574.654
383,200412,2265.691
384,200501,2520.133
385,200502,2092.527
386,200503,2013.776
387,200504,1464.426
388,200505,1377.059
389,200506,1573.523
390,200507,1845.057
391,200508,1839.254
392,200509,1551.038
393,200510,1427.003
394,200511,1561.036
395,200512,2350.191
396,200601,2193.675
397,200602,2023.652
398,200603,1939.638
399,200604,1456.917
400,200605,1375.146
401,200606,1548.233
402,200607,1837.468
403,200608,1821.405
404,200609,1413.676
405,200610,1397.695
406,200611,1591.712
407,200612,2070.571
408,200701,2397.484
409,200702,2388.481
410,200703,1934.287
411,200704,1514.199
412,200705,1379.256
413,200706,1518.141
414,200707,1726.62
415,200708,1862.877
416,200709,1545.29
417,200710,1389.622
418,200711,1606.388
419,200712,2260.008
420,200801,2574.135
421,200802,2284.454
422,200803,2005.137
423,200804,1522.401
424,200805,1372.467
425,200806,1596.749
426,200807,1783.214
427,200808,1702.808
428,200809,1426.808
429,200810,1371.217
430,200811,1644.348
431,200812,2386.255
432,200901,2653.09
433,200902,2125.484
434,200903,1912.091
435,200904,1504.874
436,200905,1354.634
437,200906,1503.087
438,200907,1682.328
439,200908,1685.298
440,200909,1396.281
441,200910,1404.729
442,200911,1517.429
443,200912,2344.507
444,201001,2722.039
445,201002,2278.63
446,201003,1901.351
447,201004,1350.527
448,201005,1377.988
449,201006,1642.213
450,201007,1869.428
451,201008,1834.734
452,201009,1476.365
453,201010,1324.449
454,201011,1612.048
455,201012,2505.44
456,201101,2700.965
457,201102,2180.117
458,201103,1868.535
459,201104,1453.673
460,201105,1365.826
461,201106,1586.975
462,201107,1889
463,201108,1825.576
464,201109,1454.75
465,201110,1336.282
466,201111,1582.913
467,201112,2136.433
468,201201,2288.469
469,201202,1922.942
470,201203,1555.297
471,201204,1290.309
472,201205,1340.055
473,201206,1508.728
474,201207,1836.14
475,201208,1722.618
476,201209,1395.757
477,201210,1329.517
478,201211,1634.454
479,201212,2052.172
480,201301,2455.465
481,201302,2087.734
482,201303,2014.592
483,201304,1488.318
484,201305,1312.459
485,201306,1468.943
486,201307,1707.576
487,201308,1634.544
488,201309,1434.685
489,201310,1338.602
490,201311,1705.465
491,201312,2405.096
492,201401,2808.412
493,201402,2351.29
494,201403,2086.369
495,201404,1424.186
496,201405,1339.505
497,201406,1478.654
498,201407,1645.887
499,201408,1616.232
500,201409,1428.555
501,201410,1331.478
502,201411,1773.932
503,201412,2164.807
504,201501,2580.929
505,201502,2377.381
506,201503,1972.902
507,201504,1344.384
508,201505,1290.396
509,201506,1466.241
510,201507,1712.66
511,201508,1666.388
512,201509,1434.699
513,201510,1328.016
514,201511,1525.757
515,201512,1922.859
516,201601,2424.517
517,201602,2003.172
518,201603,1589.631
519,201604,1342.11
520,201605,1278.117
521,201606,1511.27
522,201607,1795.383
523,201608,1750.524
524,201609,1458.755
525,201610,1309.835
526,201611,1453.555
527,201612,2269.472
528,201701,2345.103
529,201702,1730.556
530,201703,1791.49
531,201704,1309.744
532,201705,1316.979
533,201706,1463.766
534,201707,1721.174
535,201708,1598.033
536,201709,1362.79
537,201710,1335.691
538,201711,1618.332
539,201712,2296.68
540,201801,2738.076
541,201802,1978.829
542,201803,1914.282
543,201804,1549.317
544,201805,1358.8
545,201806,1536.406
546,201807,1753.123
547,201808,1702.151
548,201809,1457.597
549,201810,1429.831
550,201811,1852.441
551,201812,2240.258
552,201901,2536.898
553,201902,2156.175
554,201903,2002.936
555,201904,1361.874
556,201905,1356.223
557,201906,1434.287
558,201907,1734.089
559,201908,1677.96
560,201909,1466.196
561,201910,1374.674
562,201911,1809.114
563,201912,2163.747
564,202001,2242.462
565,202002,2011.541
566,202003,1692.834
567,202004,1460.65
568,202005,1428.359
569,202006,1541.875
570,202007,1840.435
571,202008,1750.274
572,202009,1419.171
573,202010,1372.201
574,202011,1567.707
575,202012,2274.277
576,202101,2451.101
577,202102,2350.977
578,202103,1856.031
579,202104,1397.144
580,202105,1358.566
581,202106,1564.205
582,202107,1737.442
583,202108,1755.212
584,202109,1456.901
585,202110,1315.799
586,202111,1644.306
587,202112,2032.352
